time_sn,ctrlong,ctrlatr,ax_m_s2,ay_m_s2,az_m_s2,p_rad_s,q_rad_s,r_rad_s,quat_e0,quat_ex,quat_ey,quat_ez,alpha_rad,beta_rad,tas_m_s,de_rad,dr_rad,da_rad,mass_kg,thrust_N_1,lat_rad,lon_rad,alt_m
0.4,1,1,-0.202169008,0.02727602,-8.494793522,-0.007348458,-0.065724792,-0.000579371,0.999988964,-0.003535196,0.003081755,0.000318148,0.030532052,-0.001173518,26.84237576,0,0,0,10.49998708,5.027378338,0.785399853,-2.129301688,999.8311471
0.42,1,1,-0.200110115,0.027712389,-8.460434072,-0.006814546,-0.060445031,-0.001279762,0.999990462,-0.003605722,0.00245011,0.000311314,0.030262881,-0.001191096,26.83807877,0,0,0,10.49998642,5.073946428,0.785399938,-2.129301688,999.8177987
0.44,1,1,-0.19694982,0.027891484,-8.44250994,-0.006411915,-0.054468592,-0.00198737,0.99999147,-0.003671609,0.001875072,0.000297214,0.030126268,-0.001195031,26.83408103,0,0,0,10.49998577,5.116884131,0.785400022,-2.129301688,999.8039131
0.46,1,1,-0.19270992,0.027819219,-8.440464408,-0.006128115,-0.048195911,-0.002690021,0.999992076,-0.003734105,0.001361564,0.00027582,0.030119978,-0.001185527,26.83037483,0,0,0,10.49998511,5.156437033,0.785400106,-2.129301688,999.7894833
0.48,1,1,-0.187474854,0.027505545,-8.452983788,-0.005949912,-0.041971183,-0.003376555,0.999992369,-0.003794328,0.000910778,0.000247234,0.030235013,-0.001163021,26.82695077,0,0,0,10.49998446,5.192839467,0.78540019,-2.129301688,999.7745085
0.5,1,1,-0.181375356,0.026963973,-8.47820226,-0.005863634,-0.03607526,-0.004036933,0.999992431,-0.003853261,0.000520774,0.000211674,0.030457314,-0.001128157,26.82379799,0,0,0,10.4999838,5.226314498,0.785400274,-2.129301688,999.7589936
0.52,1,1,-0.174574205,0.026211075,-8.513897138,-0.005855458,-0.030722945,-0.004662318,0.99999233,-0.003911748,0.000187138,0.000169461,0.030769389,-0.001081763,26.82090453,0,0,0,10.49998314,5.257073829,0.785400359,-2.129301688,999.7429489
0.54,1,1,-0.167253658,0.025265978,-8.557666765,-0.005911656,-0.02606402,-0.005245133,0.999992118,-0.003970496,-9.64E-05,0.000121004,0.03115184,-0.001024819,26.81825767,0,0,0,10.49998249,5.285317663,0.785400443,-2.129301688,999.7263884
0.56,1,1,-0.159604253,0.024149836,-8.607085434,-0.006018821,-0.022187266,-0.005779086,0.999991833,-0.004030075,-0.000337167,6.68E-05,0.031584694,-0.000958429,26.81584429,0,0,0,10.49998183,5.311234592,0.785400527,-2.129301688,999.7093297
0.58,1,1,-0.151814831,0.022885319,-8.659831907,-0.006164046,-0.019126763,-0.006259174,0.999991497,-0.004090928,-0.000543293,7.36E-06,0.032048541,-0.00088379,26.81365123,0,0,0,10.49998117,5.335001524,0.785400611,-2.129301688,999.6917926
0.6,1,1,-0.144063801,0.0214961,-8.713789889,-0.006335091,-0.016869776,-0.006681668,0.999991124,-0.004153369,-0.000722878,-5.67E-05,0.032525427,-0.00080217,26.8116656,0,0,0,10.49998052,5.356783712,0.785400695,-2.129301688,999.6737979
0.62,1,1,-0.136511793,0.02000638,-8.767120471,-0.006520524,-0.015365577,-0.007044071,0.99999072,-0.004217599,-0.000883728,-0.000124751,0.03299953,-0.000714873,26.80987506,0,0,0,10.49997986,5.376734878,0.785400779,-2.129301688,999.6553674
0.64,1,1,-0.129295923,0.018440421,-8.818307865,-0.006709829,-0.014534616,-0.007345061,0.999990285,-0.004283705,-0.001032992,-0.000196178,0.033457597,-0.000623217,26.808268,0,0,0,10.4999792,5.394997461,0.785400864,-2.129301688,999.6365222
0.66,1,1,-0.122525832,0.016822138,-8.866180815,-0.006893503,-0.014277547,-0.007584425,0.999989815,-0.00435168,-0.001176915,-0.000270331,0.033889184,-0.00052851,26.80683375,0,0,0,10.49997854,5.41170298,0.785400948,-2.129301689,999.6172828
0.68,1,1,-0.116281575,0.01517471,-8.909912847,-0.007063122,-0.014483685,-0.007762968,0.999989306,-0.004421426,-0.001320686,-0.000346575,0.034286706,-0.000432027,26.80556262,0,0,0,10.49997789,5.426972501,0.785401032,-2.129301689,999.5976684
0.7,1,1,-0.110613357,0.013520252,-8.949004995,-0.007211387,-0.015038574,-0.007882425,0.999988752,-0.004492766,-0.001468364,-0.000424292,0.034645334,-0.000334993,26.80444594,0,0,0,10.49997723,5.440917203,0.785401116,-2.129301689,999.5776963
0.72,1,1,-0.105542911,0.011879519,-8.983254927,-0.007332151,-0.015830435,-0.007945352,0.999988147,-0.004565457,-0.001622869,-0.00050289,0.034962772,-0.000238564,26.80347611,0,0,0,10.49997657,5.453638999,0.7854012,-2.129301689,999.5573823
0.74,1,1,-0.101066281,0.010271674,-9.012716376,-0.007420419,-0.016755367,-0.007955024,0.999987487,-0.0046392,-0.001786041,-0.00058181,0.035238942,-0.000143812,26.80264646,0,0,0,10.49997591,5.465231215,0.785401284,-2.129301689,999.53674
0.76,1,1,-0.097157633,0.008714084,-9.03765261,-0.007472331,-0.017721245,-0.007915326,0.999986767,-0.004713653,-0.001958738,-0.000660533,0.03547561,-5.17E-05,26.80195124,0,0,0,10.49997525,5.475779287,0.785401368,-2.129301689,999.5157813
0.78,1,1,-0.093773734,0.007222179,-9.058487358,-0.007485132,-0.018650335,-0.007830633,0.999985983,-0.004788439,-0.002140964,-0.000738586,0.035675986,3.68E-05,26.8013855,0,0,0,10.4999746,5.485361464,0.785401452,-2.129301689,999.4945161
0.8,1,1,-0.090858699,0.005809343,-9.075756112,-0.007457121,-0.019480728,-0.007705713,0.999985135,-0.004863158,-0.002332027,-0.000815545,0.035844315,0.000121103,26.80094493,0,0,0,10.49997394,5.494049486,0.785401537,-2.129301689,999.4729527
0.82,1,1,-0.088348685,0.004486851,-9.090060248,-0.007387584,-0.020166701,-0.007545606,0.999984224,-0.004937399,-0.002530698,-0.000891036,0.035985495,0.000200411,26.80062583,0,0,0,10.49997328,5.501909242,0.785401621,-2.129301689,999.4510982
0.84,1,1,-0.086176249,0.00326385,-9.102025798,-0.007276728,-0.020678201,-0.007355531,0.999983252,-0.005010747,-0.002735366,-0.00096474,0.036104717,0.00027423,26.8004249,0,0,0,10.49997262,5.509001375,0.785401705,-2.12930169,999.4289581
0.86,1,1,-0.084274156,0.002147362,-9.112268175,-0.00712559,-0.020999606,-0.007140784,0.999982224,-0.005082793,-0.002944198,-0.00103639,0.036207161,0.00034214,26.80033921,0,0,0,10.49997196,5.515381838,0.785401789,-2.12930169,999.4065375
0.88,1,1,-0.082578529,0.001142338,-9.1213636,-0.00693595,-0.021127974,-0.006906646,0.999981146,-0.005153142,-0.003155268,-0.001105776,0.036297745,0.000403836,26.80036605,0,0,0,10.4999713,5.521102399,0.785401873,-2.12930169,999.3838403
0.9,1,1,-0.081031261,0.000251724,-9.129827523,-0.006710237,-0.021070949,-0.006658299,0.999980026,-0.00522142,-0.003366674,-0.001172736,0.036380926,0.000459122,26.80050287,0,0,0,10.49997064,5.526211084,0.785401957,-2.12930169,999.3608701
0.92,1,1,-0.079581705,-0.000523435,-9.138099894,-0.006451431,-0.020844497,-0.006400751,0.999978873,-0.005287279,-0.003576636,-0.001237162,0.036460566,0.000507912,26.80074719,0,0,0,10.49996998,5.53075256,0.785402041,-2.12930169,999.3376305
0.94,1,1,-0.078187675,-0.001183873,-9.14653684,-0.006162967,-0.020470616,-0.006138769,0.999977697,-0.005350404,-0.003783566,-0.001298993,0.036539846,0.000550218,26.80109658,0,0,0,10.49996933,5.534768472,0.785402125,-2.12930169,999.3141248
0.96,1,1,-0.076815844,-0.001731961,-9.155408034,-0.005848631,-0.019975147,-0.005876818,0.999976508,-0.005410516,-0.003986117,-0.001358213,0.03662123,0.000586145,26.80154857,0,0,0,10.49996867,5.538297721,0.785402209,-2.129301691,999.2903562
0.98,1,1,-0.075441623,-0.002171553,-9.16489889,-0.005512476,-0.019385776,-0.005619014,0.999975316,-0.005467375,-0.004183212,-0.001414847,0.036706476,0.000615881,26.80210069,0,0,0,10.49996801,5.541376702,0.785402293,-2.129301691,999.2663283
1,1,1,-0.074048637,-0.002507813,-9.17511661,-0.005158719,-0.018730292,-0.005369085,0.999974128,-0.005520782,-0.00437405,-0.001468959,0.036796678,0.000639691,26.80275037,0,0,0,10.49996735,5.544039497,0.785402377,-2.129301691,999.242045
1.02,1,1,-0.072627891,-0.002747035,-9.186099114,-0.004791663,-0.018035154,-0.005130338,0.999972952,-0.005570583,-0.004558106,-0.001520647,0.036892329,0.000657906,26.80349503,0,0,0,10.49996669,5.546318044,0.785402462,-2.129301691,999.2175103
1.04,1,1,-0.071176727,-0.002896468,-9.197825876,-0.00441561,-0.017324376,-0.004905637,0.999971795,-0.005616664,-0.004735107,-0.001570038,0.036993414,0.00067091,26.80433201,0,0,0,10.49996603,5.548242263,0.785402546,-2.129301692,999.1927286
1.06,1,1,-0.069697663,-0.00296412,-9.210229776,-0.004034791,-0.016618736,-0.004697396,0.999970663,-0.005658956,-0.004905004,-0.001617284,0.037099499,0.000679137,26.8052586,0,0,0,10.49996537,5.549840177,0.78540263,-2.129301692,999.1677046
1.08,1,1,-0.068197194,-0.002958583,-9.223209211,-0.003653293,-0.015935286,-0.004507567,0.999969558,-0.005697431,-0.005067938,-0.001662559,0.037209839,0.00068305,26.8062721,0,0,0,10.49996471,5.551138003,0.785402714,-2.129301692,999.1424432
1.1,1,1,-0.066684612,-0.002888847,-9.236639777,-0.003275005,-0.015287146,-0.004337649,0.999968482,-0.005732103,-0.005224201,-0.001706053,0.03732347,0.000683143,26.80736978,0,0,0,10.49996405,5.552160238,0.785402798,-2.129301692,999.1169496
1.12,1,1,-0.065170905,-0.002764131,-9.250385025,-0.002903561,-0.014683526,-0.004188698,0.999967437,-0.005763021,-0.005374197,-0.001747968,0.037439305,0.000679923,26.80854892,0,0,0,10.49996339,5.552929736,0.785402882,-2.129301693,999.0912292
1.14,1,1,-0.063667774,-0.002593714,-9.264305903,-0.002542298,-0.014129947,-0.004061341,0.999966423,-0.005790269,-0.005518402,-0.001788515,0.037556213,0.000673903,26.80980684,0,0,0,10.49996273,5.553467779,0.785402966,-2.129301693,999.0652874
1.16,1,1,-0.062240626,-0.002386826,-9.27827727,-0.002194222,-0.013628842,-0.003955804,0.999965437,-0.005813966,-0.00565733,-0.001827908,0.037673091,0.000665594,26.81114039,0,0,0,10.49996207,5.553795198,0.78540305,-2.129301693,999.0391298
1.18,1,1,-0.061007804,-0.002152497,-9.292201054,-0.001861981,-0.013184884,-0.003871933,0.99996448,-0.005834256,-0.005791527,-0.001866363,0.03778885,0.000655497,26.81254409,0,0,0,10.49996141,5.553936285,0.785403134,-2.129301693,999.012762
1.2,1,1,-0.059812344,-0.001899221,-9.305910423,-0.001547843,-0.012800041,-0.003809232,0.999963548,-0.005851308,-0.005921584,-0.001904091,0.037902416,0.000644097,26.81401466,0,0,0,10.49996075,5.553909178,0.785403218,-2.129301694,998.9861895
1.22,1,1,-0.058665913,-0.001635144,-9.319287569,-0.001253687,-0.01246776,-0.003766898,0.999962637,-0.005865314,-0.006048065,-0.001941298,0.038012876,0.000631853,26.81554983,0,0,0,10.49996009,5.553728806,0.785403303,-2.129301694,998.9594178
1.24,1,1,-0.057575929,-0.001367852,-9.332255257,-0.000980992,-0.01217971,-0.00374385,0.999961745,-0.005876481,-0.006171455,-0.001978179,0.038119542,0.000619196,26.81714743,0,0,0,10.49995943,5.553408926,0.785403387,-2.129301694,998.9324522
1.26,1,1,-0.056547232,-0.0011043,-9.344762642,-0.000730849,-0.011926979,-0.00373878,0.999960869,-0.005885028,-0.006292154,-0.002014921,0.03822195,0.000606523,26.81880539,0,0,0,10.49995877,5.552962195,0.785403471,-2.129301695,998.9052979
1.28,1,1,-0.055582215,-0.000850745,-9.356783421,-0.000503963,-0.01170063,-0.003750183,0.999960007,-0.005891185,-0.006410469,-0.002051695,0.038319841,0.000594195,26.82052173,0,0,0,10.49995811,5.552400244,0.785403555,-2.129301695,998.87796
1.3,1,1,-0.05468106,-0.000612702,-9.368312986,-0.000300674,-0.011492164,-0.003776402,0.999959155,-0.005895185,-0.006526623,-0.002088658,0.038413143,0.000582531,26.82229457,0,0,0,10.49995745,5.55173375,0.785403639,-2.129301695,998.8504431
1.32,1,1,-0.053842057,-0.00039492,-9.379364963,-0.000120974,-0.011293881,-0.003815667,0.999958313,-0.005897264,-0.006640756,-0.002125948,0.038501943,0.00057181,26.82412212,0,0,0,10.49995679,5.550972513,0.785403723,-2.129301696,998.822752
1.34,1,1,-0.053061963,-0.000201361,-9.389967417,3.55E-05,-0.011099128,-0.003866129,0.999957479,-0.005897655,-0.006752934,-0.00216369,0.038586456,0.000562265,26.82600266,0,0,0,10.49995613,5.550125534,0.785403807,-2.129301696,998.794891
1.36,1,1,-0.052336391,-3.52E-05,-9.400158984,0.00016928,-0.010902453,-0.003925903,0.999956651,-0.005896588,-0.006863166,-0.002201985,0.038666992,0.00055409,26.82793457,0,0,0,10.49995547,5.549201078,0.785403891,-2.129301697,998.7668643
1.38,1,1,-0.051660183,0.000101147,-9.409985139,0.00028135,-0.010699678,-0.003993097,0.999955829,-0.005894283,-0.006971411,-0.002240921,0.038743929,0.000547432,26.82991625,0,0,0,10.49995481,5.548206746,0.785403976,-2.129301697,998.738676
1.4,1,1,-0.05102777,0.000206033,-9.419494769,0.000372801,-0.010487878,-0.004065845,0.999955013,-0.005890952,-0.007077591,-0.002280562,0.038817676,0.000542399,26.83194619,0,0,0,10.49995415,5.547149536,0.78540406,-2.129301697,998.7103301
1.42,1,1,-0.050433482,0.00027851,-9.428737171,0.00044495,-0.01026531,-0.004142336,0.999954203,-0.005886794,-0.007181607,-0.002320959,0.038888654,0.000539059,26.83402292,0,0,0,10.49995349,5.5460359,0.785404144,-2.129301698,998.6818304
1.44,1,1,-0.049871824,0.000318306,-9.437759562,0.000499279,-0.010031294,-0.00422084,0.999953399,-0.005881994,-0.007283346,-0.00236214,0.038957272,0.000537442,26.836145,0,0,0,10.49995283,5.544871799,0.785404228,-2.129301698,998.6531805
